ID,Food Name,Category,Match Type,Requires Custom Manual Match,Confidence Score,Current Verified Image URL,Attribution,Google Images Search Link,Excel HYPERLINK Formula
"millet","Millet","grains","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1622542086073-346a41ce35fe?auto=format&fit=crop&w=800&q=80","Wikimedia / Ancient Organic Pearl Millets & Grains","https://www.google.com/search?q=Millet%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Millet%20food&tbm=isch"", ""View Image"")"
"paneer","Paneer","dairy","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1631452180519-c014fe946bc7?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Indian Cottage Cheese (Paneer)","https://www.google.com/search?q=Paneer%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Paneer%20food&tbm=isch"", ""View Image"")"
"lentils_red","Red Lentils","legumes","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1612257999756-9d63c78eee46?auto=format&fit=crop&w=800&q=80","Unsplash / High-Protein Traditional Lentils (Dal)","https://www.google.com/search?q=Red%20Lentils%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Red%20Lentils%20food&tbm=isch"", ""View Image"")"
"cinnamon","Cinnamon","spices","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1614326005381-344425877e0a?auto=format&fit=crop&w=800&q=80","Unsplash / Organic Ceylon Cinnamon Sticks","https://www.google.com/search?q=Cinnamon%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Cinnamon%20food&tbm=isch"", ""View Image"")"
"sweet_potato","Sweet Potato","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1596620740331-304a92a7948f?auto=format&fit=crop&w=800&q=80","Unsplash / Roasted & Fresh Sweet Potatoes","https://www.google.com/search?q=Sweet%20Potato%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Sweet%20Potato%20food&tbm=isch"", ""View Image"")"
"flaxseeds","Flaxseeds","seeds","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1541083039736-fb320dec4509?auto=format&fit=crop&w=800&q=80","Unsplash / Nutrient-Packed Superfood Seeds","https://www.google.com/search?q=Flaxseeds%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Flaxseeds%20food&tbm=isch"", ""View Image"")"
"greek_yogurt","Greek Yogurt","dairy","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1563636619-e9143da7973b?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Farm Dairy & Artisanal Cheese","https://www.google.com/search?q=Greek%20Yogurt%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Greek%20Yogurt%20food&tbm=isch"", ""View Image"")"
"blueberries","Blueberries","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1502741224143-90386d7f8c82?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Wild Blueberries","https://www.google.com/search?q=Blueberries%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Blueberries%20food&tbm=isch"", ""View Image"")"
"chickpeas","Chickpeas","legumes","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1587735243615-c03f25aaff15?auto=format&fit=crop&w=800&q=80","Unsplash / Sweet Tender Green Garden Peas","https://www.google.com/search?q=Chickpeas%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Chickpeas%20food&tbm=isch"", ""View Image"")"
"olive_oil_extra_virgin","Extra Virgin Olive Oil","oils","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&w=800&q=80","Unsplash / Extra Virgin Cold-Pressed Olive Oil","https://www.google.com/search?q=Extra%20Virgin%20Olive%20Oil%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Extra%20Virgin%20Olive%20Oil%20food&tbm=isch"", ""View Image"")"
"oats","Rolled Oats","grains","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1471193945509-9ad0617afabf?auto=format&fit=crop&w=800&q=80","Unsplash / Organic Rolled Oats Bowl","https://www.google.com/search?q=Rolled%20Oats%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Rolled%20Oats%20food&tbm=isch"", ""View Image"")"
"garlic","Garlic","spices","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1615475689030-8c9f177d5e37?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Garlic Bulbs & Cloves","https://www.google.com/search?q=Garlic%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Garlic%20food&tbm=isch"", ""View Image"")"
"chicken_breast","Chicken Breast","poultry","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1604503468506-a8da13d82791?auto=format&fit=crop&w=800&q=80","Unsplash / Lean Organic Chicken Breast","https://www.google.com/search?q=Chicken%20Breast%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Chicken%20Breast%20food&tbm=isch"", ""View Image"")"
"chicken_thighs","Chicken Thighs","poultry","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1604503468506-a8da13d82791?auto=format&fit=crop&w=800&q=80","Unsplash / Lean Organic Chicken Breast","https://www.google.com/search?q=Chicken%20Thighs%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Chicken%20Thighs%20food&tbm=isch"", ""View Image"")"
"crab","Blue Crab","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1565333280022-9b7f020c67e3?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Whole Crab & Shellfish","https://www.google.com/search?q=Blue%20Crab%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Blue%20Crab%20food&tbm=isch"", ""View Image"")"
"river_prawns","Freshwater Prawns","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1559737558-2f5a35f4523b?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Wild Caught Prawns","https://www.google.com/search?q=Freshwater%20Prawns%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Freshwater%20Prawns%20food&tbm=isch"", ""View Image"")"
"rice_basmati","Basmati Rice","grains","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1586201375761-83865001e8ac?auto=format&fit=crop&w=800&q=80","Unsplash / Long-Grain Aged Basmati Rice","https://www.google.com/search?q=Basmati%20Rice%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Basmati%20Rice%20food&tbm=isch"", ""View Image"")"
"eggs","Eggs","protein","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1506976785307-8732e854ad03?auto=format&fit=crop&w=800&q=80","Unsplash / Farm Fresh Organic Eggs","https://www.google.com/search?q=Eggs%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Eggs%20food&tbm=isch"", ""View Image"")"
"milk","Whole Milk","dairy","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1563636619-e9143da7973b?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Farm Dairy & Artisanal Cheese","https://www.google.com/search?q=Whole%20Milk%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Whole%20Milk%20food&tbm=isch"", ""View Image"")"
"tomatoes","Tomatoes","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1561136594-7f68413baa99?auto=format&fit=crop&w=800&q=80","Unsplash / Vine-Ripe Red Tomatoes","https://www.google.com/search?q=Tomatoes%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Tomatoes%20food&tbm=isch"", ""View Image"")"
"ginger","Ginger","spices","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1615485290382-441e4d049cb5?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Aromatic Ginger Root","https://www.google.com/search?q=Ginger%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Ginger%20food&tbm=isch"", ""View Image"")"
"cucumber","Cucumber","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1604977042946-1eecc30f269e?auto=format&fit=crop&w=800&q=80","Unsplash / Crisp Sliced Cucumbers","https://www.google.com/search?q=Cucumber%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Cucumber%20food&tbm=isch"", ""View Image"")"
"mango_green","Green Mango","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1553279768-865429fa0078?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Tangy Green Raw Mango","https://www.google.com/search?q=Green%20Mango%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Green%20Mango%20food&tbm=isch"", ""View Image"")"
"cauliflower","Cauliflower","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh White Cauliflower","https://www.google.com/search?q=Cauliflower%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Cauliflower%20food&tbm=isch"", ""View Image"")"
"ghee","Ghee","dairy","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?auto=format&fit=crop&w=800&q=80","Unsplash / Pure Golden Desi Ghee","https://www.google.com/search?q=Ghee%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Ghee%20food&tbm=isch"", ""View Image"")"
"papaya","Papaya","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1517282009859-f000ec3b26fe?auto=format&fit=crop&w=800&q=80","Unsplash / Sweet Tropical Asian Specialty Papaya","https://www.google.com/search?q=Papaya%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Papaya%20food&tbm=isch"", ""View Image"")"
"tilapia","Tilapia","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1534604973900-c43ab4c2e0ab?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Caught Seafood & Fish","https://www.google.com/search?q=Tilapia%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Tilapia%20food&tbm=isch"", ""View Image"")"
"watermelon","Watermelon","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1587049352846-4a222e784d38?auto=format&fit=crop&w=800&q=80","Unsplash / Sweet Juicy Watermelon","https://www.google.com/search?q=Watermelon%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Watermelon%20food&tbm=isch"", ""View Image"")"
"beef_steak","Beef Steak","meat","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1603048588665-791ca8aea617?auto=format&fit=crop&w=800&q=80","Unsplash / Grass-Fed Beef Steak","https://www.google.com/search?q=Beef%20Steak%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Beef%20Steak%20food&tbm=isch"", ""View Image"")"
"pineapple","Pineapple","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Crisp Apple","https://www.google.com/search?q=Pineapple%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Pineapple%20food&tbm=isch"", ""View Image"")"
"broccoli","Broccoli","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1584270354949-c26b0d5b4a0c?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Green Broccoli Crowns","https://www.google.com/search?q=Broccoli%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Broccoli%20food&tbm=isch"", ""View Image"")"
"shrimp","Shrimp","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1559737558-2f5a35f4523b?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Wild Caught Prawns","https://www.google.com/search?q=Shrimp%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Shrimp%20food&tbm=isch"", ""View Image"")"
"bell_pepper","Bell Pepper","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=800&q=80","Unsplash / Colorful Crisp Red Bell Peppers","https://www.google.com/search?q=Bell%20Pepper%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Bell%20Pepper%20food&tbm=isch"", ""View Image"")"
"lobster","Lobster","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1565333280022-9b7f020c67e3?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Whole Crab & Shellfish","https://www.google.com/search?q=Lobster%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Lobster%20food&tbm=isch"", ""View Image"")"
"strawberry","Strawberry","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1464965911861-746a04b4bca6?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Red Strawberries","https://www.google.com/search?q=Strawberry%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Strawberry%20food&tbm=isch"", ""View Image"")"
"pork_chops","Pork Chops","meat","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1602470520998-f4a52199a3d6?auto=format&fit=crop&w=800&q=80","Unsplash / Premium Tender Lamb & Mutton Cuts","https://www.google.com/search?q=Pork%20Chops%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Pork%20Chops%20food&tbm=isch"", ""View Image"")"
"lamb_leg","Lamb Leg","meat","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1602470520998-f4a52199a3d6?auto=format&fit=crop&w=800&q=80","Unsplash / Premium Tender Lamb & Mutton Cuts","https://www.google.com/search?q=Lamb%20Leg%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Lamb%20Leg%20food&tbm=isch"", ""View Image"")"
"carrot","Carrot","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1598170845058-128a2b64a275?auto=format&fit=crop&w=800&q=80","Unsplash / Crisp Organic Carrots","https://www.google.com/search?q=Carrot%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Carrot%20food&tbm=isch"", ""View Image"")"
"mango","Mango","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1553279768-865429fa0078?auto=format&fit=crop&w=800&q=80","Unsplash / Golden Ripe Mango","https://www.google.com/search?q=Mango%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Mango%20food&tbm=isch"", ""View Image"")"
"kiwi","Kiwi Fruit","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1585059819970-313686321946?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Green Kiwi Slices","https://www.google.com/search?q=Kiwi%20Fruit%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Kiwi%20Fruit%20food&tbm=isch"", ""View Image"")"
"pomegranate","Pomegranate","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1615485290382-441e4d049cb5?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Ruby Pomegranate Arils","https://www.google.com/search?q=Pomegranate%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Pomegranate%20food&tbm=isch"", ""View Image"")"
"spinach_baby","Baby Spinach","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1576045057995-568f588f82fb?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Organic Spinach","https://www.google.com/search?q=Baby%20Spinach%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Baby%20Spinach%20food&tbm=isch"", ""View Image"")"
"cauliflower_organic","Organic Cauliflower","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1568584711075-3d021a7c3ca3?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh White Cauliflower","https://www.google.com/search?q=Organic%20Cauliflower%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Organic%20Cauliflower%20food&tbm=isch"", ""View Image"")"
"eggplant","Eggplant","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1613743983387-03f4a86f9909?auto=format&fit=crop&w=800&q=80","Unsplash / Glossy Fresh Eggplant","https://www.google.com/search?q=Eggplant%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Eggplant%20food&tbm=isch"", ""View Image"")"
"salmon_wild","Wild-Caught Salmon","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Wild Salmon Fillet","https://www.google.com/search?q=Wild-Caught%20Salmon%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Wild-Caught%20Salmon%20food&tbm=isch"", ""View Image"")"
"chicken_breast_boneless","Boneless Chicken Breast","meat","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1604503468506-a8da13d82791?auto=format&fit=crop&w=800&q=80","Unsplash / Lean Organic Chicken Breast","https://www.google.com/search?q=Boneless%20Chicken%20Breast%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Boneless%20Chicken%20Breast%20food&tbm=isch"", ""View Image"")"
"eggs_free_range","Free-Range Eggs","protein","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1506976785307-8732e854ad03?auto=format&fit=crop&w=800&q=80","Unsplash / Farm Fresh Organic Eggs","https://www.google.com/search?q=Free-Range%20Eggs%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Free-Range%20Eggs%20food&tbm=isch"", ""View Image"")"
"quinoa_organic","Organic Quinoa","grains","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1595661677316-e5ece76be7c0?auto=format&fit=crop&w=800&q=80","Unsplash / Organic Golden Quinoa Grain","https://www.google.com/search?q=Organic%20Quinoa%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Organic%20Quinoa%20food&tbm=isch"", ""View Image"")"
"lentils","Lentils","legumes","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1612257999756-9d63c78eee46?auto=format&fit=crop&w=800&q=80","Unsplash / High-Protein Traditional Lentils (Dal)","https://www.google.com/search?q=Lentils%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Lentils%20food&tbm=isch"", ""View Image"")"
"olive_oil","Olive Oil","oils","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?auto=format&fit=crop&w=800&q=80","Unsplash / Extra Virgin Cold-Pressed Olive Oil","https://www.google.com/search?q=Olive%20Oil%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Olive%20Oil%20food&tbm=isch"", ""View Image"")"
"asparagus","Asparagus","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1515471209610-e3f15d785718?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Green Asparagus Spears","https://www.google.com/search?q=Asparagus%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Asparagus%20food&tbm=isch"", ""View Image"")"
"avocado_hass","Hass Avocado","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1523049673857-eb18f1d7b578?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Hass Avocado Slices","https://www.google.com/search?q=Hass%20Avocado%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Hass%20Avocado%20food&tbm=isch"", ""View Image"")"
"kale_fresh","Fresh Kale","vegetables","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1524179091875-bf99a9a6af57?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Crisp Kale","https://www.google.com/search?q=Fresh%20Kale%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Fresh%20Kale%20food&tbm=isch"", ""View Image"")"
"blueberry","Blueberry","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1502741224143-90386d7f8c82?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Wild Blueberries","https://www.google.com/search?q=Blueberry%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Blueberry%20food&tbm=isch"", ""View Image"")"
"orange","Orange","fruits","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1611080626919-7cf5a9dbab5b?auto=format&fit=crop&w=800&q=80","Unsplash / Juicy Citrus Oranges","https://www.google.com/search?q=Orange%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Orange%20food&tbm=isch"", ""View Image"")"
"tuna","Tuna","seafood","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1534604973900-c43ab4c2e0ab?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Caught Seafood & Fish","https://www.google.com/search?q=Tuna%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Tuna%20food&tbm=isch"", ""View Image"")"
"lamb_chops","Lamb Chops","meat","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1602470520998-f4a52199a3d6?auto=format&fit=crop&w=800&q=80","Unsplash / Premium Tender Lamb & Mutton Cuts","https://www.google.com/search?q=Lamb%20Chops%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Lamb%20Chops%20food&tbm=isch"", ""View Image"")"
"almonds_raw","Raw Almonds","nuts","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1567007601203-767b7dcfcf10?auto=format&fit=crop&w=800&q=80","Unsplash / Raw Whole California & Mamra Almonds","https://www.google.com/search?q=Raw%20Almonds%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Raw%20Almonds%20food&tbm=isch"", ""View Image"")"
"greek_yogurt_nonfat","Non-Fat Greek Yogurt","dairy","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://images.unsplash.com/photo-1563636619-e9143da7973b?auto=format&fit=crop&w=800&q=80","Unsplash / Fresh Farm Dairy & Artisanal Cheese","https://www.google.com/search?q=Non-Fat%20Greek%20Yogurt%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Non-Fat%20Greek%20Yogurt%20food&tbm=isch"", ""View Image"")"
"honey","Honey","sweeteners","CURATED_KEYWORD_MATCH","NO - Curated","99%","https://cdn.pixabay.com/photo/2015/11/07/11/55/honey-1031057_640.jpg","Pixabay / Pure Wildflower Honey Jar","https://www.google.com/search?q=Honey%20food&tbm=isch","=HYPERLINK(""https://www.google.com/search?q=Honey%20food&tbm=isch"", ""View Image"")"
